"","UF","COD. UF","COD. MUNIC","NOME DO MUNICÍPIO","POPULAÇÃO ESTIMADA"
"1","RO",11,"00015","Alta Floresta D'Oeste","22728"
"2","RO",11,"00023","Ariquemes","109523"
"3","RO",11,"00031","Cabixi","5188"
"4","RO",11,"00049","Cacoal","85893"
"5","RO",11,"00056","Cerejeiras","16204"
"6","RO",11,"00064","Colorado do Oeste","15544"
"7","RO",11,"00072","Corumbiara","7220"
"8","RO",11,"00080","Costa Marques","18798"
"9","RO",11,"00098","Espigão D'Oeste","32695"
"10","RO",11,"00106","Guajará-Mirim","46556"
"11","RO",11,"00114","Jaru","51620"
"12","RO",11,"00122","Ji-Paraná","130009"
"13","RO",11,"00130","Machadinho D'Oeste","40867"
"14","RO",11,"00148","Nova Brasilândia D'Oeste","20489"
"15","RO",11,"00155","Ouro Preto do Oeste","35737"
"16","RO",11,"00189","Pimenta Bueno","36881"
"17","RO",11,"00205","Porto Velho","539354(1)"
"18","RO",11,"00254","Presidente Médici","18571"
"19","RO",11,"00262","Rio Crespo","3804"
"20","RO",11,"00288","Rolim de Moura","55407"
"21","RO",11,"00296","Santa Luzia D'Oeste","6216"
"22","RO",11,"00304","Vilhena","102211"
"23","RO",11,"00320","São Miguel do Guaporé","23077"
"24","RO",11,"00338","Nova Mamoré","31392"
"25","RO",11,"00346","Alvorada D'Oeste","14106"
"26","RO",11,"00379","Alto Alegre dos Parecis","13255"
"27","RO",11,"00403","Alto Paraíso","21847"
"28","RO",11,"00452","Buritis","40356"
"29","RO",11,"00502","Novo Horizonte do Oeste","8329"
"30","RO",11,"00601","Cacaulândia","6269"
"31","RO",11,"00700","Campo Novo de Rondônia","14266"
"32","RO",11,"00809","Candeias do Jamari","27388"
"33","RO",11,"00908","Castanheiras","2987"
"34","RO",11,"00924","Chupinguaia","11472"
"35","RO",11,"00940","Cujubim","26183"
"36","RO",11,"01005","Governador Jorge Teixeira","7445"
"37","RO",11,"01104","Itapuã do Oeste","10641"
"38","RO",11,"01203","Ministro Andreazza","9559"
"39","RO",11,"01302","Mirante da Serra","10818"
"40","RO",11,"01401","Monte Negro","16007"
"41","RO",11,"01435","Nova União","6895"
"42","RO",11,"01450","Parecis","6198"
"43","RO",11,"01468","Pimenteiras do Oeste","2148"
"44","RO",11,"01476","Primavera de Rondônia","2776"
"45","RO",11,"01484","São Felipe D'Oeste","5066"
"46","RO",11,"01492","São Francisco do Guaporé","20681"
"47","RO",11,"01500","Seringueiras","11851"
"48","RO",11,"01559","Teixeirópolis","4233"
"49","RO",11,"01609","Theobroma","10395"
"50","RO",11,"01708","Urupá","11272"
"51","RO",11,"01757","Vale do Anari","11377"
"52","RO",11,"01807","Vale do Paraíso","6656"
"53","AC",12,"00013","Acrelândia","15490"
"54","AC",12,"00054","Assis Brasil","7534"
"55","AC",12,"00104","Brasiléia","26702"
"56","AC",12,"00138","Bujari","10420"
"57","AC",12,"00179","Capixaba","12008"
"58","AC",12,"00203","Cruzeiro do Sul","89072"
"59","AC",12,"00252","Epitaciolândia","18696"
"60","AC",12,"00302","Feijó","34884"
"61","AC",12,"00328","Jordão","8473"
"62","AC",12,"00336","Mâncio Lima","19311"
"63","AC",12,"00344","Manoel Urbano","9581"
"64","AC",12,"00351","Marechal Thaumaturgo","19299"
"65","AC",12,"00385","Plácido de Castro","19955"
"66","AC",12,"00393","Porto Walter","12241"
"67","AC",12,"00401","Rio Branco","413418"
"68","AC",12,"00427","Rodrigues Alves","19351"
"69","AC",12,"00435","Santa Rosa do Purus","6717"
"70","AC",12,"00450","Senador Guiomard","23236"
"71","AC",12,"00500","Sena Madureira","46511"
"72","AC",12,"00609","Tarauacá","43151"
"73","AC",12,"00708","Xapuri","19596"
"74","AC",12,"00807","Porto Acre","18824"
"75","AM",13,"00029","Alvarães","16220"
"76","AM",13,"00060","Amaturá","11736"
"77","AM",13,"00086","Anamã","13956"
"78","AM",13,"00102","Anori","21477"
"79","AM",13,"00144","Apuí","22359"
"80","AM",13,"00201","Atalaia do Norte","20398"
"81","AM",13,"00300","Autazes","40290"
"82","AM",13,"00409","Barcelos","27638"
"83","AM",13,"00508","Barreirinha","32483"
"84","AM",13,"00607","Benjamin Constant","43935"
"85","AM",13,"00631","Beruri","20093"
"86","AM",13,"00680","Boa Vista do Ramos","19626"
"87","AM",13,"00706","Boca do Acre","34635"
"88","AM",13,"00805","Borba","41748"
"89","AM",13,"00839","Caapiranga","13283"
"90","AM",13,"00904","Canutama","15807"
"91","AM",13,"01001","Carauari","28508"
"92","AM",13,"01100","Careiro","38348"
"93","AM",13,"01159","Careiro da Várzea","30846"
"94","AM",13,"01209","Coari","85910"
"95","AM",13,"01308","Codajás","29168"
"96","AM",13,"01407","Eirunepé","35700"
"97","AM",13,"01506","Envira","20393"
"98","AM",13,"01605","Fonte Boa","17005"
"99","AM",13,"01654","Guajará","16937"
"100","AM",13,"01704","Humaitá","56144"
"101","AM",13,"01803","Ipixuna","30436"
"102","AM",13,"01852","Iranduba","49011"
"103","AM",13,"01902","Itacoatiara","102701"
"104","AM",13,"01951","Itamarati","7814"
"105","AM",13,"02009","Itapiranga","9230"
"106","AM",13,"02108","Japurá","2251"
"107","AM",13,"02207","Juruá","15106"
"108","AM",13,"02306","Jutaí","13886"
"109","AM",13,"02405","Lábrea","46882"
"110","AM",13,"02504","Manacapuru","98502"
"111","AM",13,"02553","Manaquiri","33049 (2)"
"112","AM",13,"02603","Manaus","2219580"
"113","AM",13,"02702","Manicoré","56583"
"114","AM",13,"02801","Maraã","18261"
"115","AM",13,"02900","Maués","65040"
"116","AM",13,"03007","Nhamundá","21443"
"117","AM",13,"03106","Nova Olinda do Norte","38026"
"118","AM",13,"03205","Novo Airão","19928"
"119","AM",13,"03304","Novo Aripuanã","26046"
"120","AM",13,"03403","Parintins","115363"
"121","AM",13,"03502","Pauini","19522"
"122","AM",13,"03536","Presidente Figueiredo","37193"
"123","AM",13,"03569","Rio Preto da Eva","34106"
"124","AM",13,"03601","Santa Isabel do Rio Negro","25865(3)"
"125","AM",13,"03700","Santo Antônio do Içá","21243"
"126","AM",13,"03809","São Gabriel da Cachoeira","46303"
"127","AM",13,"03908","São Paulo de Olivença","40073"
"128","AM",13,"03957","São Sebastião do Uatumã","14352"
"129","AM",13,"04005","Silves","9230"
"130","AM",13,"04062","Tabatinga","67182"
"131","AM",13,"04104","Tapauá","17015"
"132","AM",13,"04203","Tefé","59547"
"133","AM",13,"04237","Tonantins","18897"
"134","AM",13,"04260","Uarini","13690"
"135","AM",13,"04302","Urucará","16130 (4)"
"136","AM",13,"04401","Urucurituba","23585"
"137","RR",14,"00027","Amajari","13185"
"138","RR",14,"00050","Alto Alegre","15380"
"139","RR",14,"00100","Boa Vista","419652"
"140","RR",14,"00159","Bonfim","12557"
"141","RR",14,"00175","Cantá","18799"
"142","RR",14,"00209","Caracaraí","22283"
"143","RR",14,"00233","Caroebe","10383"
"144","RR",14,"00282","Iracema","12296"
"145","RR",14,"00308","Mucajaí","18172"
"146","RR",14,"00407","Normandia","11532"
"147","RR",14,"00456","Pacaraima","18913"
"148","RR",14,"00472","Rorainópolis","30782"
"149","RR",14,"00506","São João da Baliza","8348"
"150","RR",14,"00605","São Luiz","8110"
"151","RR",14,"00704","Uiramutã","10789"
"152","PA",15,"00107","Abaetetuba","159080"
"153","PA",15,"00131","Abel Figueiredo","7486"
"154","PA",15,"00206","Acará","55669"
"155","PA",15,"00305","Afuá","39567"
"156","PA",15,"00347","Água Azul do Norte","27615"
"157","PA",15,"00404","Alenquer","57092"
"158","PA",15,"00503","Almeirim","34076"
"159","PA",15,"00602","Altamira","115969"
"160","PA",15,"00701","Anajás","29688"
"161","PA",15,"00800","Ananindeua","535547"
"162","PA",15,"00859","Anapu","28607"
"163","PA",15,"00909","Augusto Corrêa","46471"
"164","PA",15,"00958","Aurora do Pará","31773"
"165","PA",15,"01006","Aveiro","16404"
